name	type	x	y	z
S1	source	0	19	0
S2	source	0	57	0
S3	source	32.9	0	0
S4	source	32.9	38	0
S5	source	32.9	76	0
S6	source	65.8	19	0
S7	source	65.8	57	0
S8	source	0	161	0
S9	source	0	123	0
S10	source	32.9	180	0
S11	source	32.9	142	0
S12	source	32.9	104	0
S13	source	65.8	161	0
S14	source	65.8	123	0
D1	detector	0	0	0
D2	detector	0	38	0
D3	detector	0	76	0
D4	detector	16.4	9.5	0
D5	detector	16.4	28.5	0
D6	detector	16.4	47.5	0
D7	detector	16.4	66.5	0
D8	detector	32.9	19	0
D9	detector	32.9	57	0
D10	detector	49.4	9.5	0
D11	detector	49.4	28.5	0
D12	detector	49.4	47.5	0
D13	detector	49.4	66.5	0
D14	detector	65.8	0	0
D15	detector	65.8	38	0
D16	detector	65.8	76	0
D17	detector	0	180	0
D18	detector	0	142	0
D19	detector	0	104	0
D20	detector	16.4	170.5	0
D21	detector	16.4	151.5	0
D22	detector	16.4	132.5	0
D23	detector	16.4	113.5	0
D24	detector	32.9	161	0
D25	detector	32.9	123	0
D26	detector	49.4	170.5	0
D27	detector	49.4	151.5	0
D28	detector	49.4	132.5	0
D29	detector	49.4	113.5	0
D30	detector	65.8	180	0
D31	detector	65.8	142	0
D32	detector	65.8	104	0
